ID,MainActivityType,InstallationOrAircraftOperatorID,InstallationNameOrAircraftOperatorCode,LatestComplianceCode,MainActivityTypeCode,PermitOrPlanID,AccountHolderName,PermitOrPlanDate,NationalAdministratorCode,NationalAdministrator,AMOwnershipFirstYear,AMOwnershipLastYear,FirstYearOfEmissions,LastYearOfEmissions,Address1,ZipCode,City,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,Latitude,Longitude,Link
DE60,Production of pig iron or steel,60,Einheitliche Anlage Bremen,A,24,14220-0024,ArcelorMittal Bremen GmbH,2005-01-01,DE,Germany,,,2005,,Carl-Benz- Straße 30,28237,Bremen,2854331,2984047,2032710,1869210,2245809,2104671,2101901,2467212,2446077,2809015,2619217,2544504,2621007,2177297,2348808,2267241,,,,,,,,,,53.1409357,8.6834813,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=105381&action=all&languageCode=en&registryCode=DE
DE67,Production of pig iron or steel,67,Elektrostahlwerk,A,24,14220-0033,ArcelorMittal Hamburg GmbH,2005-01-01,DE,Germany,,,2005,,Dradenaustraße 33,21129,Hamburg,100849,97972,88790,92880,101094,96834,92292,93572,90002,90164,83434,84280,82889,68762,74180,74526,,,,,,,,,,53.5247466,9.900063,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=105429&action=all&languageCode=en&registryCode=DE
DE1891,Production or processing of ferrous metals,1891,Verzinkungsanlage,A,25,14225-0001,ArcelorMittal Eisenhüttenstadt GmbH,2008-01-01,DE,Germany,,,2008,,Werkstrasse 1,15890,Eisenhüttenstadt,,,62432,53047,60559,42080,44345,42775,42283,45622,44386,47113,47793,46650,40785,46985,,,,,,,,,,52.1611794,14.6288292,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=105437&action=all&languageCode=en&registryCode=DE
DE1892,Production or processing of ferrous metals,1892,Warmwalzwerk,A,25,14225-0004,ArcelorMittal Eisenhüttenstadt GmbH,2008-01-01,DE,Germany,,,2008,,Werkstrasse 1,15890,Eisenhüttenstadt,,,99900,76704,96644,96693,99218,108608,111898,107279,116551,118259,125250,114543,103330,112284,,,,,,,,,,52.1611794,14.6288292,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=105438&action=all&languageCode=en&registryCode=DE
DE70,Production of pig iron or steel,70,Roheisen-und Stahlerzeugung,A,24,14220-0038,ArcelorMittal Eisenhüttenstadt GmbH,2005-01-01,DE,Germany,,,2005,,Werkstraße 1,15890,Eisenhüttenstadt,1951193,1852048,1717196,1193338,1395349,1262814,991281,1190576,1413237,1621292,1462575,1546670,1446767,1473970,1501188,1701551,,,,,,,,,,52.1611794,14.6288292,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=105456&action=all&languageCode=en&registryCode=DE
DE4112,Combustion of fuels,4112,Kesselanlage Kokerei Prosper III,A,20,14310-1464,ArcelorMittal Bremen GmbH,2008-11-01,DE,Germany,,,2008,,Prosperstraße 350,46238,Bottrop,,,2913,30940,31274,30740,31147,33391,30409,31789,34300,33823,34836,33622,30893,30827,,,,,,,,,,51.5209626,6.970655,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=105470&action=all&languageCode=en&registryCode=DE
DE202555,Production or processing of ferrous metals,202555,Drahtwalzwerk Hochfeld,A,25,14226-0033,ArcelorMittal Hochfeld GmbH,2013-01-01,DE,Germany,,,2013,2014,Vohwinkeslstrasse 107,47107,Duisburg,,,,,,,,16744,1448,,,,,,,,,,,,,,,,,51.4581606,6.7434963,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=108102&action=all&languageCode=en&registryCode=DE
DE202863,Production or processing of ferrous metals,202863,Walzwerk Ruhrort,A,25,14226-0023,ArcelorMittal Hochfeld GmbH,2013-01-01,DE,Germany,,,2013,,Vohwinkelstrasse 107,47137,Duisburg,,,,,,,,45644,42021,43313,49892,42506,46175,31099,20536,21791,,,,,,,,,,51.4581606,6.7434963,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=108141&action=all&languageCode=en&registryCode=DE
DE204192,Production or processing of ferrous metals,204192,Bregal 1,A,25,14226-0074,ArcelorMittal Bremen GmbH,2013-01-01,DE,Germany,,,2013,,Carl-Benz-Straße 30,28237,Bremen,,,,,,,,24658,26435,26488,26529,26751,25557,24743,20615,21995,,,,,,,,,,53.1409357,8.6834813,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=109610&action=all&languageCode=en&registryCode=DE
DE204194,Production or processing of ferrous metals,204194,Kaltwalzwerk,A,25,14226-0038,ArcelorMittal Bremen GmbH,2013-01-01,DE,Germany,,,2013,,Carl-Benz-Straße 30,28237,Bremen,,,,,,,,18624,20317,20093,21762,22968,22843,19747,17229,21290,,,,,,,,,,53.1409357,8.6834813,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=109611&action=all&languageCode=en&registryCode=DE
DE204543,Production or processing of ferrous metals,204543,Reduktionsanlage,A,25,14220-0046,ArcelorMittal Hamburg GmbH,2013-01-01,DE,Germany,,,2013,,Dradenaustraße 33,21129,Hamburg,,,,,,,,252667,279937,265071,290729,303834,273096,235508,266025,241974,,,,,,,,,,53.5247466,9.900063,https://ec.europa.eu/clima/ets/ohaDetails.do?accountID=110087&action=all&languageCode=en&registryCode=DE
